country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","25-06-2025 22:00:00",23.233584,77.400574,PM10,13,39,28
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","25-06-2025 22:00:00",22.9682591,76.064118,PM2.5,33,58,44
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","25-06-2025 22:00:00",26.203442,78.193251,PM2.5,15,64,37
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","25-06-2025 22:00:00",26.203442,78.193251,OZONE,29,58,34
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","25-06-2025 22:00:00",26.259242,78.216432,SO2,11,16,13
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","25-06-2025 22:00:00",26.259242,78.216432,OZONE,26,72,53
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","25-06-2025 22:00:00",22.4310,75.5213,PM2.5,27,55,38
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","25-06-2025 22:00:00",22.4310,75.5213,NO2,45,62,52
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","25-06-2025 22:00:00",22.6780,75.8559,NH3,NA,NA,NA
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","25-06-2025 22:00:00",22.6780,75.8559,CO,25,30,29
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","25-06-2025 22:00:00",19.205800,72.868200,PM10,37,479,82
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","25-06-2025 22:00:00",19.205800,72.868200,NO2,9,16,12
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","25-06-2025 22:00:00",19.205800,72.868200,CO,41,42,42
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","25-06-2025 22:00:00",19.215859,72.831718,PM10,34,51,43
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","25-06-2025 22:00:00",19.0632143,72.8456324,PM10,39,71,56
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","25-06-2025 22:00:00",19.0632143,72.8456324,CO,1,8,2
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","25-06-2025 22:00:00",19.1653323,72.922099,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","25-06-2025 22:00:00",19.0863,72.8888,NO2,3,5,4
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM","25-06-2025 22:00:00",19.11074,72.86084,OZONE,13,30,22
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","25-06-2025 22:00:00",19.0364585,72.8954371,NH3,2,6,3
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","25-06-2025 22:00:00",19.10078,72.87462,NH3,1,1,1
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","25-06-2025 22:00:00",19.10078,72.87462,OZONE,7,8,7
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","25-06-2025 22:00:00",19.04946,72.9230,NH3,3,5,3
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","25-06-2025 22:00:00",19.083694,72.920967,PM10,29,62,48
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","25-06-2025 22:00:00",19.083694,72.920967,SO2,NA,NA,NA
